sample_id,scene_id,split,source_path,relative_path
0000028,LC08_031030_20190828,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000028\LC08_031030_20190828\all_bands.tif,0000028\LC08_031030_20190828\all_bands.tif
0000030,LC08_019038_20190707,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000030\LC08_019038_20190707\all_bands.tif,0000030\LC08_019038_20190707\all_bands.tif
0000031,LC08_021030_20190822,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000031\LC08_021030_20190822\all_bands.tif,0000031\LC08_021030_20190822\all_bands.tif
0000032,LC08_014033_20190720,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000032\LC08_014033_20190720\all_bands.tif,0000032\LC08_014033_20190720\all_bands.tif
0000034,LC08_011029_20190731,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000034\LC08_011029_20190731\all_bands.tif,0000034\LC08_011029_20190731\all_bands.tif
0000036,LC08_024032_20190827,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000036\LC08_024032_20190827\all_bands.tif,0000036\LC08_024032_20190827\all_bands.tif
0000038,LC08_039033_20190719,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000038\LC08_039033_20190719\all_bands.tif,0000038\LC08_039033_20190719\all_bands.tif
0000040,LC08_018038_20190716,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000040\LC08_018038_20190716\all_bands.tif,0000040\LC08_018038_20190716\all_bands.tif
0000041,LC08_028028_20190706,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000041\LC08_028028_20190706\all_bands.tif,0000041\LC08_028028_20190706\all_bands.tif
0000042,LC08_039032_20190719,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000042\LC08_039032_20190719\all_bands.tif,0000042\LC08_039032_20190719\all_bands.tif
0000043,LC08_036033_20190815,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000043\LC08_036033_20190815\all_bands.tif,0000043\LC08_036033_20190815\all_bands.tif
0000044,LC08_042030_20190724,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000044\LC08_042030_20190724\all_bands.tif,0000044\LC08_042030_20190724\all_bands.tif
0000045,LC08_022038_20190829,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000045\LC08_022038_20190829\all_bands.tif,0000045\LC08_022038_20190829\all_bands.tif
0000046,LC08_035035_20190824,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000046\LC08_035035_20190824\all_bands.tif,0000046\LC08_035035_20190824\all_bands.tif
0000047,LC08_021038_20190705,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000047\LC08_021038_20190705\all_bands.tif,0000047\LC08_021038_20190705\all_bands.tif
0000048,LC08_035034_20190824,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000048\LC08_035034_20190824\all_bands.tif,0000048\LC08_035034_20190824\all_bands.tif
0000052,LC08_026031_20190809,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000052\LC08_026031_20190809\all_bands.tif,0000052\LC08_026031_20190809\all_bands.tif
0000054,LC08_032035_20190718,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000054\LC08_032035_20190718\all_bands.tif,0000054\LC08_032035_20190718\all_bands.tif
0000055,LC08_027027_20190731,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000055\LC08_027027_20190731\all_bands.tif,0000055\LC08_027027_20190731\all_bands.tif
0000056,LC08_043035_20190715,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000056\LC08_043035_20190715\all_bands.tif,0000056\LC08_043035_20190715\all_bands.tif
0000058,LC08_039028_20190804,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000058\LC08_039028_20190804\all_bands.tif,0000058\LC08_039028_20190804\all_bands.tif
0000059,LC08_019033_20190824,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000059\LC08_019033_20190824\all_bands.tif,0000059\LC08_019033_20190824\all_bands.tif
0000060,LC08_021039_20190705,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000060\LC08_021039_20190705\all_bands.tif,0000060\LC08_021039_20190705\all_bands.tif
0000061,LC08_046027_20190805,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000061\LC08_046027_20190805\all_bands.tif,0000061\LC08_046027_20190805\all_bands.tif
0000062,LC08_022035_20190829,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000062\LC08_022035_20190829\all_bands.tif,0000062\LC08_022035_20190829\all_bands.tif
0000065,LC08_020033_20190714,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000065\LC08_020033_20190714\all_bands.tif,0000065\LC08_020033_20190714\all_bands.tif
0000067,LC08_036027_20190815,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000067\LC08_036027_20190815\all_bands.tif,0000067\LC08_036027_20190815\all_bands.tif
0000068,LC08_015034_20190727,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000068\LC08_015034_20190727\all_bands.tif,0000068\LC08_015034_20190727\all_bands.tif
0000069,LC08_036035_20190815,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000069\LC08_036035_20190815\all_bands.tif,0000069\LC08_036035_20190815\all_bands.tif
0000071,LC08_029028_20190830,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000071\LC08_029028_20190830\all_bands.tif,0000071\LC08_029028_20190830\all_bands.tif
0000073,LC08_042030_20190724,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000073\LC08_042030_20190724\all_bands.tif,0000073\LC08_042030_20190724\all_bands.tif
0000077,LC08_044032_20190823,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000077\LC08_044032_20190823\all_bands.tif,0000077\LC08_044032_20190823\all_bands.tif
0000078,LC08_046030_20190720,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000078\LC08_046030_20190720\all_bands.tif,0000078\LC08_046030_20190720\all_bands.tif
0000081,LC08_020035_20190815,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000081\LC08_020035_20190815\all_bands.tif,0000081\LC08_020035_20190815\all_bands.tif
0000082,LC08_042036_20190724,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000082\LC08_042036_20190724\all_bands.tif,0000082\LC08_042036_20190724\all_bands.tif
0000084,LC08_041028_20190818,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000084\LC08_041028_20190818\all_bands.tif,0000084\LC08_041028_20190818\all_bands.tif
0000085,LC08_024032_20190827,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000085\LC08_024032_20190827\all_bands.tif,0000085\LC08_024032_20190827\all_bands.tif
0000086,LC08_024035_20190726,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000086\LC08_024035_20190726\all_bands.tif,0000086\LC08_024035_20190726\all_bands.tif
0000087,LC08_042035_20190825,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000087\LC08_042035_20190825\all_bands.tif,0000087\LC08_042035_20190825\all_bands.tif
0000090,LC08_015030_20190727,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000090\LC08_015030_20190727\all_bands.tif,0000090\LC08_015030_20190727\all_bands.tif
0000092,LC08_042035_20190825,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000092\LC08_042035_20190825\all_bands.tif,0000092\LC08_042035_20190825\all_bands.tif
0000100,LC08_024038_20190726,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000100\LC08_024038_20190726\all_bands.tif,0000100\LC08_024038_20190726\all_bands.tif
0000102,LC08_038033_20190813,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000102\LC08_038033_20190813\all_bands.tif,0000102\LC08_038033_20190813\all_bands.tif
0000103,LC08_023035_20190820,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000103\LC08_023035_20190820\all_bands.tif,0000103\LC08_023035_20190820\all_bands.tif
0000104,LC08_031033_20190711,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000104\LC08_031033_20190711\all_bands.tif,0000104\LC08_031033_20190711\all_bands.tif
0000105,LC08_035030_20190723,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000105\LC08_035030_20190723\all_bands.tif,0000105\LC08_035030_20190723\all_bands.tif
0000106,LC08_035027_20190808,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000106\LC08_035027_20190808\all_bands.tif,0000106\LC08_035027_20190808\all_bands.tif
0000107,LC08_037027_20190721,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000107\LC08_037027_20190721\all_bands.tif,0000107\LC08_037027_20190721\all_bands.tif
0000111,LC08_022039_20190829,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000111\LC08_022039_20190829\all_bands.tif,0000111\LC08_022039_20190829\all_bands.tif
0000115,LC08_030034_20190720,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000115\LC08_030034_20190720\all_bands.tif,0000115\LC08_030034_20190720\all_bands.tif
0000123,LC08_026033_20190724,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000123\LC08_026033_20190724\all_bands.tif,0000123\LC08_026033_20190724\all_bands.tif
0000130,LC08_040028_20190827,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000130\LC08_040028_20190827\all_bands.tif,0000130\LC08_040028_20190827\all_bands.tif
0000134,LC08_034032_20190716,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000134\LC08_034032_20190716\all_bands.tif,0000134\LC08_034032_20190716\all_bands.tif
0000137,LC08_041028_20190818,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000137\LC08_041028_20190818\all_bands.tif,0000137\LC08_041028_20190818\all_bands.tif
0000139,LC08_030037_20190720,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000139\LC08_030037_20190720\all_bands.tif,0000139\LC08_030037_20190720\all_bands.tif
0000142,LC08_034031_20190716,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000142\LC08_034031_20190716\all_bands.tif,0000142\LC08_034031_20190716\all_bands.tif
0000143,LC08_026036_20190724,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000143\LC08_026036_20190724\all_bands.tif,0000143\LC08_026036_20190724\all_bands.tif
0000146,LC08_043028_20190731,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000146\LC08_043028_20190731\all_bands.tif,0000146\LC08_043028_20190731\all_bands.tif
0000147,LC08_031029_20190828,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000147\LC08_031029_20190828\all_bands.tif,0000147\LC08_031029_20190828\all_bands.tif
0000150,LC08_032027_20190819,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000150\LC08_032027_20190819\all_bands.tif,0000150\LC08_032027_20190819\all_bands.tif
0000151,LC08_022034_20190829,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000151\LC08_022034_20190829\all_bands.tif,0000151\LC08_022034_20190829\all_bands.tif
0000152,LC08_015029_20190727,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000152\LC08_015029_20190727\all_bands.tif,0000152\LC08_015029_20190727\all_bands.tif
0000153,LC08_022028_20190728,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000153\LC08_022028_20190728\all_bands.tif,0000153\LC08_022028_20190728\all_bands.tif
0000155,LC08_037029_20190721,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000155\LC08_037029_20190721\all_bands.tif,0000155\LC08_037029_20190721\all_bands.tif
0000156,LC08_039026_20190804,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000156\LC08_039026_20190804\all_bands.tif,0000156\LC08_039026_20190804\all_bands.tif
0000158,LC08_043030_20190731,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000158\LC08_043030_20190731\all_bands.tif,0000158\LC08_043030_20190731\all_bands.tif
0000159,LC08_033032_20190709,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000159\LC08_033032_20190709\all_bands.tif,0000159\LC08_033032_20190709\all_bands.tif
0000160,LC08_042034_20190825,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000160\LC08_042034_20190825\all_bands.tif,0000160\LC08_042034_20190825\all_bands.tif
0000163,LC08_026035_20190724,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000163\LC08_026035_20190724\all_bands.tif,0000163\LC08_026035_20190724\all_bands.tif
0000164,LC08_021039_20190705,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000164\LC08_021039_20190705\all_bands.tif,0000164\LC08_021039_20190705\all_bands.tif
0000167,LC08_028028_20190706,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000167\LC08_028028_20190706\all_bands.tif,0000167\LC08_028028_20190706\all_bands.tif
0000169,LC08_043027_20190731,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000169\LC08_043027_20190731\all_bands.tif,0000169\LC08_043027_20190731\all_bands.tif
0000171,LC08_029033_20190729,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000171\LC08_029033_20190729\all_bands.tif,0000171\LC08_029033_20190729\all_bands.tif
0000172,LC08_045028_20190729,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000172\LC08_045028_20190729\all_bands.tif,0000172\LC08_045028_20190729\all_bands.tif
0000174,LC08_045030_20190814,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000174\LC08_045030_20190814\all_bands.tif,0000174\LC08_045030_20190814\all_bands.tif
0000175,LC08_037033_20190721,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000175\LC08_037033_20190721\all_bands.tif,0000175\LC08_037033_20190721\all_bands.tif
0000176,LC08_038030_20190813,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000176\LC08_038030_20190813\all_bands.tif,0000176\LC08_038030_20190813\all_bands.tif
0000178,LC08_026035_20190724,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000178\LC08_026035_20190724\all_bands.tif,0000178\LC08_026035_20190724\all_bands.tif
0000180,LC08_033032_20190709,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000180\LC08_033032_20190709\all_bands.tif,0000180\LC08_033032_20190709\all_bands.tif
0000181,LC08_016035_20190819,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000181\LC08_016035_20190819\all_bands.tif,0000181\LC08_016035_20190819\all_bands.tif
0000183,LC08_038035_20190813,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000183\LC08_038035_20190813\all_bands.tif,0000183\LC08_038035_20190813\all_bands.tif
0000184,LC08_027040_20190816,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000184\LC08_027040_20190816\all_bands.tif,0000184\LC08_027040_20190816\all_bands.tif
0000185,LC08_038031_20190813,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000185\LC08_038031_20190813\all_bands.tif,0000185\LC08_038031_20190813\all_bands.tif
0000186,LC08_016041_20190702,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000186\LC08_016041_20190702\all_bands.tif,0000186\LC08_016041_20190702\all_bands.tif
0000187,LC08_038035_20190813,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000187\LC08_038035_20190813\all_bands.tif,0000187\LC08_038035_20190813\all_bands.tif
0000188,LC08_028030_20190807,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000188\LC08_028030_20190807\all_bands.tif,0000188\LC08_028030_20190807\all_bands.tif
0000190,LC08_017032_20190709,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000190\LC08_017032_20190709\all_bands.tif,0000190\LC08_017032_20190709\all_bands.tif
0000193,LC08_026038_20190724,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000193\LC08_026038_20190724\all_bands.tif,0000193\LC08_026038_20190724\all_bands.tif
0000195,LC08_040036_20190827,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000195\LC08_040036_20190827\all_bands.tif,0000195\LC08_040036_20190827\all_bands.tif
0000197,LC08_043033_20190816,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000197\LC08_043033_20190816\all_bands.tif,0000197\LC08_043033_20190816\all_bands.tif
0000200,LC08_032032_20190718,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000200\LC08_032032_20190718\all_bands.tif,0000200\LC08_032032_20190718\all_bands.tif
0000201,LC08_017037_20190725,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000201\LC08_017037_20190725\all_bands.tif,0000201\LC08_017037_20190725\all_bands.tif
0000203,LC08_022037_20190829,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000203\LC08_022037_20190829\all_bands.tif,0000203\LC08_022037_20190829\all_bands.tif
0000204,LC08_037027_20190721,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000204\LC08_037027_20190721\all_bands.tif,0000204\LC08_037027_20190721\all_bands.tif
0000206,LC08_025033_20190717,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000206\LC08_025033_20190717\all_bands.tif,0000206\LC08_025033_20190717\all_bands.tif
0000207,LC08_031031_20190711,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000207\LC08_031031_20190711\all_bands.tif,0000207\LC08_031031_20190711\all_bands.tif
0000209,LC08_046029_20190720,train,D:\Projects\Analytica\ssl4eo_l_oli_tirs_toa_benchmark\ssl4eo_l_oli_tirs_toa_benchmark\0000209\LC08_046029_20190720\all_bands.tif,0000209\LC08_046029_20190720\all_bands.tif
